date,product_id,category,quantity,unit_price,customer_id,store_id,total_sales,year,month,day_of_week,quarter
2023-05-17,P040,Toys,8,286.96,2935,S002,2295.68,2023,5,2,2
2024-11-21,P007,Toys,6,19.365000000000002,1615,S004,116.19000000000001,2024,11,3,4
2024-05-13,P032,Home Goods,1,115.6,1961,S001,115.6,2024,5,0,2
2024-01-07,P048,Home Goods,7,22.14,3450,S004,154.98000000000002,2024,1,6,1
2022-08-21,P019,Home Goods,1,455.66400000000004,4584,S001,455.66400000000004,2022,8,6,3
2022-08-20,P006,Electronics,3,97.644,1286,S004,292.932,2022,8,5,3
2022-04-02,P020,Clothing,8,435.83,3431,S003,3486.64,2022,4,5,2
2024-09-10,P027,Toys,9,325.23,4318,S002,2927.07,2024,9,1,3
2024-01-10,P043,Toys,3,122.42,2923,S003,367.26,2024,1,2,1
2024-04-21,P037,Clothing,1,87.28,2114,S003,87.28,2024,4,6,2
2022-02-03,P048,Toys,1,317.54,1825,S003,317.54,2022,2,3,1
2024-12-07,P007,Clothing,7,677.115,3359,S004,4739.805,2024,12,5,4
2024-08-11,P005,Electronics,5,434.4,4508,S003,2172.0,2024,8,6,3
2022-11-03,P011,Electronics,1,271.185,3773,S002,271.185,2022,11,3,4
2022-09-24,P015,Electronics,6,297.82,3090,S002,1786.92,2022,9,5,3
2022-09-26,P003,Clothing,6,162.27,2097,S001,973.6200000000001,2022,9,0,3
2023-02-24,P005,Clothing,4,499.58,3801,S004,1998.32,2023,2,4,1
2023-10-25,P023,Books,7,376.93,1992,S002,2638.51,2023,10,2,4
2023-07-19,P037,Toys,7,373.26,2584,S002,2612.8199999999997,2023,7,2,3
2023-02-09,P009,Toys,9,217.4,2903,S004,1956.6000000000001,2023,2,3,1
2024-01-20,P015,Books,1,312.89,1875,S003,312.89,2024,1,5,1
2022-07-29,P003,Books,5,212.86799999999997,4387,S002,1064.34,2022,7,4,3
2023-02-10,P029,Electronics,3,294.03000000000003,1733,S003,882.0900000000001,2023,2,4,1
2023-05-07,P006,Books,7,203.59,2885,S002,1425.13,2023,5,6,2
2023-08-14,P017,Clothing,4,559.1279999999999,1143,S001,2236.5119999999997,2023,8,0,3
2024-06-30,P026,Home Goods,4,380.268,4400,S003,1521.072,2024,6,6,2
2022-10-17,P021,Clothing,1,51.14,3256,S002,51.14,2022,10,0,4
2023-10-14,P008,Books,1,443.65,2122,S004,443.65,2023,10,5,4
2024-01-01,P021,Toys,2,141.75,1699,S004,283.5,2024,1,0,1
2022-03-15,P011,Clothing,2,129.45,1113,S004,258.9,2022,3,1,1
2024-01-16,P038,Toys,1,155.57,3222,S002,155.57,2024,1,1,1
2022-09-09,P008,Clothing,8,292.83,1270,S003,2342.64,2022,9,4,3
2022-04-13,P042,Toys,6,276.9,1062,S001,1661.3999999999999,2022,4,2,2
2024-11-19,P024,Clothing,6,376.185,2007,S001,2257.11,2024,11,1,4
2024-12-03,P035,Toys,9,542.385,3843,S002,4881.465,2024,12,1,4
2024-07-21,P014,Home Goods,5,198.11999999999998,2427,S002,990.5999999999999,2024,7,6,3
2023-02-25,P014,Electronics,4,393.21,3272,S002,1572.84,2023,2,5,1
2022-05-31,P010,Clothing,6,95.91,2982,S003,575.46,2022,5,1,2
2024-03-29,P012,Home Goods,8,393.48,3208,S004,3147.84,2024,3,4,1
2023-07-28,P038,Electronics,1,402.32399999999996,4107,S003,402.32399999999996,2023,7,4,3
2022-07-05,P044,Clothing,7,413.724,3428,S003,2896.0679999999998,2022,7,1,3
2023-09-24,P046,Home Goods,8,245.96,4724,S002,1967.68,2023,9,6,3
2022-02-25,P034,Home Goods,9,336.83,1317,S001,3031.47,2022,2,4,1
